Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	‘fis’ phenomenon						“fis”現象						√		100
	"cohort" theory						“股”論						√		100
	"what's X doing Y (WXDY)?" construction						WXDY構式						√		100
	“what’s X doing Y?” Construction						WXDY構式						√		100
	(definite) description						（限定）摹狀詞						√		100
	a posteriori syllabus						經驗性教學大綱						√		100
	a priori syllabus						先驗性教學大綱						√		100
	A-adjective						A形容詞						√		100
	A-bar						A階標						√		100
	A-bar binding						A階標約束						√		100
	A-bar position						A階標位置						√		100
*	A-binding	A-binding	argument binding		SYN		論元約束	R		√					0
*	A-binding	A-binding	argument binding		SYN		A約束	A		√					1
	A-binding				SYN		A約束	A					√		1
	A-binding				#		A－約束	D				√			2
*	A-binding			A-bar-binding	#		A－槓約束	D				√			2
*	A-not-A question			V-not-V question	SYN		正反問句	A		√					1
	A-not-A question				SYN		反復問句	A			√				1
	A-not-A question				SYN		正反問句	A			√				1
*	A-not-A question			V-not-V question	#		是非問句	D		√					2
	A-over-A principle				SYN		A冠A原則	A				√			1
	A-over-A principle				#		A－冠－A原則	D		√					2
	A-over-A principle						A蓋A原則						√		100
	A-position						A位置						√		100
	Ā-position						非A位置						√		100
	Ā-position						Ā位置						√		100
	abbreviation				GEN	MOR	縮寫	R					√		0
	abbreviation				GEN	LEX	縮寫詞	A					√		1
	abbreviation						縮略語						√		100
	abbreviation				GEN	LEX	略語	A		√					1
	abbreviation				GEN	LEX	縮寫詞	A				√			1
	abbreviation				GEN	MOR	縮寫	R		√		√			0
	abbreviation				#		省略	D		√					2
	abbreviatory convention						縮寫慣例						√		100
	aberrant						異常變化成分						√		100
	abessive						沒有格						√		100
	abessive						缺少格						√		100
	ablative				SYN	TYP	奪格	A		√		√			1
	ablative				SYN	TYP	奪格	A					√		1
	ablative						離格						√		100
	ablative absolute						奪格獨立格						√		100
*	ablaut			vowel gradation	PHN		元音交替	R					√		0
	ablaut				PHN		元音交替	R		√		√			0
	ablaut				PHN		元音轉換	A		√					1
	ablaut				PHN		母音交換	A		√					1
	abnormal tune						反常用調						√		100
	abnormal vowel						非正常元音						√		100
	abridged clause						縮減從句						√		100
	abridged clause						縮減小句						√		100
	abrupt				PHT		突發（音）	R				√			0
	abrupt				PHT		突發音	R					√		0
	abrupt				#		突發性	D		√					2
	abrupt				#		暫音	D		√					2
	abrupt tone				#		入聲	D		√					2
	abrupt tone				#		促聲	D			√				2
*	abrupt tone			rhyme with stop ending	#		促聲	D			√				2
	abrupt vs. continuant						突發音對延續音						√		100
	absolute				SYN		獨立成分	A				√			1
	absolute				SYN		獨立的	A		√					1
	absolute				#		游離的	D		√					2
	absolute				#		獨立語	D			√				2
	absolute				#		絕對的	D		√					2
	absolute						獨立格						√		100
	absolute antonymy						絕對反義關係						√		100
	absolute comparative						絕對比較級						√		100
	absolute construction						獨立結構						√		100
	absolute decision						絕對決定						√		100
	absolute exception						絕對例外						√		100
	absolute governor						絕對支配者						√		100
	absolute neutralization						絕對中和						√		100
	absolute nominative						獨立主格						√		100
	absolute phrase						獨立短語						√		100
	absolute possessive						絕對所有格						√		100
	absolute synonyms						絕對同義詞						√		100
	absolute tense						絕對時態						√		100
	absolute transitive						絕對及物動詞						√		100
	absolute universal				TYP	GEN	絕對共性	R			√				0
	absolute universal				TYP	GEN	無限制共性	A			√				1
	absolute universal				TYP	GEN	絕對共相	A				√			1
	absolute universal						絕對普遍特徵						√		100
	absolute vs. relative verbs						絕對動詞對相對動詞						√		100
	absolutive				SYN	TYP	通格	R				√			0
	absolutive				SYN	TYP	通格	R					√		0
	absolutive				SYN		游離的	A		√					1
	absolutive				#		自足的	D		√					2
	absolutive						絕對格						√		100
	absolutive						自主格						√		100
	absolutive (case)				SYN	TYP	游離格	A		√					1
	absorption						語音同化失音						√		100
	abstract						抽象的						√		100
	abstract case						抽象格						√		100
	abstract noun				SYN		抽象名詞	R		√	√				0
	abstract noun				SYN		抽象名詞	R					√		0
	abstract schemata						抽象圖式						√		100
	abstract sound						概括語音						√		100
	abstraction						抽象						√		100
	abstraction						抽象化						√		100
	abstractness controversy						抽象性爭論						√		100
	abstracts						抽象詞						√		100
	Abstufung						音質元音交替						√		100
	Abtönung						音量元音交替						√		100
*	abusive expression			abusive language	SOC		髒話	R						√	0
*	abusive expression			abusive language	SOC		罵詈語	R						√	0
*	abusive expression			abusive language	SOC		惡言	A			√				1
*	abusive expression			curse	SOC		惡言	A			√				1
*	abusive expression			swear word	SOC		惡言	A			√				1
*	abusive expression			abusive language	SOC		穢語	A			√				1
*	abusive expression			curse	SOC		穢語	A			√				1
*	abusive expression			swear word	SOC		穢語	A			√				1
*	abusive expression			abusive language	SOC		罵言	A			√				1
*	abusive expression			curse	SOC		罵言	A			√				1
*	abusive expression			swear word	SOC		罵言	A			√				1
*	abusive expression			abusive language	SOC		詈詞	A			√				1
*	abusive expression			curse	SOC		詈詞	A			√				1
*	abusive expression			swear word	SOC		詈詞	A			√				1
	abusive expression				SOC		惡語	A		√					1
*	abusive expression			abusive language	#		惡聲	D			√				2
*	abusive expression			curse	#		惡聲	D			√				2
*	abusive expression			swear word	#		惡聲	D			√				2
*	abusive expression			abusive language	#		粗口	D			√				2
